City,Date,weather_time,weather_temperature_2m_max,weather_temperature_2m_min,weather_temperature_2m_mean,weather_relative_humidity_2m_max,weather_relative_humidity_2m_min,weather_relative_humidity_2m_mean,weather_precipitation_sum,weather_rain_sum,weather_snowfall_sum,weather_wind_speed_10m_max,weather_wind_speed_10m_mean,weather_wind_direction_10m_dominant,weather_wind_gusts_10m_max,weather_pressure_msl_mean,weather_sunshine_duration
Amaravati,2017-11-25,,32.1,22.6,26.5,91,39,69,0.0,0.0,0.0,14.3,9.4,77,28.8,1012.9,37503.06
Amaravati,2017-11-26,,32.3,20.9,25.9,89,35,65,0.0,0.0,0.0,13.3,8.7,70,25.6,1013.6,37821.3
Amaravati,2017-11-27,,32.2,20.8,25.7,97,35,70,0.0,0.0,0.0,11.7,7.0,67,28.8,1012.4,37788.98
Amaravati,2017-11-28,,31.9,20.3,25.5,95,29,67,0.0,0.0,0.0,10.7,6.8,72,21.6,1012.4,37757.54
Amaravati,2017-11-29,,32.1,20.9,25.5,97,32,68,0.0,0.0,0.0,17.2,10.5,86,33.5,1013.3,37727.01
Amaravati,2017-11-30,,32.6,20.5,25.5,90,36,66,0.0,0.0,0.0,17.5,12.1,82,36.0,1012.6,36797.67
Amaravati,2017-12-01,,31.5,20.8,25.3,89,35,65,0.0,0.0,0.0,18.4,12.5,89,36.4,1011.9,37034.74
Amaravati,2017-12-02,,30.8,20.8,24.7,84,36,64,0.0,0.0,0.0,18.1,12.6,98,38.2,1013.1,36727.99
Amaravati,2017-12-03,,30.6,19.8,24.5,94,35,66,0.0,0.0,0.0,14.8,10.3,85,31.3,1013.4,37614.93
Amaravati,2017-12-04,,30.7,19.6,24.6,92,38,66,0.0,0.0,0.0,13.4,9.5,90,28.1,1012.3,37589.65
Amaravati,2017-12-05,,30.3,19.9,24.4,91,41,68,0.0,0.0,0.0,16.7,10.9,108,36.7,1011.4,37565.54
Amaravati,2017-12-06,,31.2,19.9,24.7,91,39,68,0.0,0.0,0.0,15.5,7.3,94,28.4,1010.9,37542.64
Amaravati,2017-12-07,,31.1,19.1,24.6,96,42,68,0.0,0.0,0.0,10.3,5.7,64,22.3,1010.0,37415.88
Amaravati,2017-12-08,,33.1,20.0,26.1,90,24,60,0.0,0.0,0.0,10.9,6.9,329,24.8,1009.3,37500.71
Amaravati,2017-12-09,,33.8,21.1,27.0,96,28,54,0.0,0.0,0.0,14.4,9.8,6,33.1,1009.8,37481.75
Amaravati,2017-12-10,,33.4,21.4,26.5,88,22,49,0.0,0.0,0.0,10.8,7.3,15,25.9,1011.6,37464.19
Amaravati,2017-12-11,,32.6,19.5,25.8,94,35,67,0.0,0.0,0.0,11.3,4.2,102,21.6,1013.0,37448.05
Amaravati,2017-12-12,,32.6,21.6,26.5,98,39,73,0.0,0.0,0.0,12.6,4.9,141,27.0,1013.3,34075.52
Amaravati,2017-12-13,,32.3,21.9,26.3,97,38,73,0.0,0.0,0.0,13.0,5.4,101,28.1,1013.6,35004.23
Amaravati,2017-12-14,,32.7,22.3,26.6,98,38,73,0.0,0.0,0.0,18.7,8.0,101,36.7,1014.3,33270.43
Amaravati,2017-12-15,,32.3,22.2,26.2,96,39,70,0.0,0.0,0.0,14.6,10.0,94,31.0,1015.0,36300.66
Amaravati,2017-12-16,,32.5,19.6,25.3,95,31,66,0.0,0.0,0.0,17.6,7.9,97,34.9,1016.1,37390.9
Amaravati,2017-12-17,,31.9,19.8,25.3,90,29,62,0.0,0.0,0.0,11.0,7.2,72,25.6,1016.7,37384.3
Amaravati,2017-12-18,,31.6,19.4,25.0,90,28,63,0.0,0.0,0.0,11.8,7.0,77,26.3,1016.7,37379.13
Amaravati,2017-12-19,,31.1,19.3,24.5,96,32,67,0.0,0.0,0.0,13.0,8.1,79,27.0,1016.2,37375.38
Amaravati,2017-12-20,,30.8,17.9,23.8,93,28,64,0.0,0.0,0.0,13.3,8.0,81,26.3,1017.0,37373.05
Amaravati,2017-12-21,,31.2,18.6,24.1,95,29,66,0.0,0.0,0.0,12.8,8.5,74,27.7,1016.6,37372.13
Amaravati,2017-12-22,,31.6,19.2,24.6,98,29,69,0.0,0.0,0.0,12.9,6.3,66,27.4,1015.1,37372.62
Amaravati,2017-12-23,,31.0,19.1,24.4,98,38,70,0.0,0.0,0.0,12.5,6.5,97,23.8,1013.2,37374.51
Amaravati,2017-12-24,,31.2,19.3,24.6,94,37,68,0.0,0.0,0.0,12.4,7.2,90,27.7,1013.0,37377.79
Amaravati,2017-12-25,,31.6,19.0,24.7,96,36,70,0.0,0.0,0.0,13.2,5.9,75,24.1,1013.4,37382.48
Amaravati,2017-12-26,,31.3,20.0,24.6,97,32,70,0.0,0.0,0.0,9.8,6.2,54,23.8,1014.0,36354.5
